time_s,cell_voltage_V,pack_current_A,pump_current_A,ambient_temperature_C,surface_left_true_C,surface_left_sensor_C,surface_right_C,cell_mean_temperature_C,anomaly_coolant_pump_failure,anomaly_single_cell_thermal_runaway,anomaly_temperature_sensor_bias,anomaly_labels
0.0,3.9200,-40.0000,2.1000,24.5000,27.9609,27.9609,28.0001,28.0000,0,0,0,normal
0.1,3.9199,-39.9917,2.1000,24.5003,27.9996,27.9996,28.0210,28.0000,0,0,0,normal
0.2,3.9198,-39.9833,2.1000,24.5007,28.0588,28.0588,28.0941,28.0000,0,0,0,normal
0.3,3.9196,-39.9750,2.1000,24.5010,27.8856,27.8856,28.0494,28.0000,0,0,0,normal
0.4,3.9195,-39.9668,2.1000,24.5014,27.9189,27.9189,27.9264,28.0000,0,0,0,normal
0.5,3.9194,-39.9585,2.1000,24.5017,27.9788,27.9788,28.0847,28.0000,0,0,0,normal
0.6,3.9193,-39.9503,2.1000,24.5021,28.1047,28.1047,28.0801,28.0000,0,0,0,normal
0.7,3.9192,-39.9422,2.1000,24.5024,27.9726,27.9726,27.9732,28.0000,0,0,0,normal
0.8,3.9190,-39.9341,2.1000,24.5027,27.8409,27.8409,28.1018,28.0000,0,0,0,normal
0.9,3.9189,-39.9261,2.1000,24.5031,27.8627,27.8627,28.0134,28.0000,0,0,0,normal
1.0,3.9188,-39.9182,2.1000,24.5034,27.9495,27.9495,28.0970,28.0000,0,0,0,normal
1.1,3.9187,-39.9104,2.1000,24.5038,27.8612,27.8612,27.9650,28.0000,0,0,0,normal
1.2,3.9186,-39.9026,2.1000,24.5041,27.9957,27.9957,28.0629,28.0000,0,0,0,normal
1.3,3.9184,-39.8950,2.1000,24.5045,28.0627,28.0627,28.0592,28.0000,0,0,0,normal
1.4,3.9183,-39.8875,2.1000,24.5048,27.8716,27.8716,28.0902,28.0000,0,0,0,normal
1.5,3.9182,-39.8801,2.1000,24.5051,28.0645,28.0645,27.9496,28.0000,0,0,0,normal
1.6,3.9181,-39.8729,2.1000,24.5055,27.9553,27.9553,27.9075,28.0000,0,0,0,normal
1.7,3.9180,-39.8658,2.1000,24.5058,27.9929,27.9929,28.0744,28.0000,0,0,0,normal
1.8,3.9178,-39.8588,2.1000,24.5062,27.8288,27.8288,28.0354,28.0000,0,0,0,normal
1.9,3.9177,-39.8520,2.1000,24.5065,28.1114,28.1114,28.0374,28.0000,0,0,0,normal
2.0,3.9176,-39.8454,2.1000,24.5069,28.0355,28.0355,27.9717,28.0000,0,0,0,normal
2.1,3.9175,-39.8389,2.1000,24.5072,27.9132,27.9132,27.9435,28.0000,0,0,0,normal
2.2,3.9174,-39.8327,2.1000,24.5075,28.0541,28.0541,27.9865,28.0000,0,0,0,normal
2.3,3.9172,-39.8266,2.1000,24.5079,28.0187,28.0187,28.0394,28.0000,0,0,0,normal
2.4,3.9171,-39.8207,2.1000,24.5082,27.9676,27.9676,27.9262,28.0000,0,0,0,normal
2.5,3.9170,-39.8150,2.1000,24.5086,28.0454,28.0454,27.9995,28.0000,0,0,0,normal
2.6,3.9169,-39.8095,2.1000,24.5089,27.9791,27.9791,28.0229,28.0000,0,0,0,normal
2.7,3.9168,-39.8042,2.1000,24.5092,27.9197,27.9197,28.1181,28.0000,0,0,0,normal
2.8,3.9166,-39.7991,2.1000,24.5096,27.9340,27.9340,28.0247,28.0000,0,0,0,normal
2.9,3.9165,-39.7943,2.1000,24.5099,27.9324,27.9324,27.9394,28.0000,0,0,0,normal
3.0,3.9164,-39.7896,2.1000,24.5103,28.0684,28.0684,27.9243,28.0000,0,0,0,normal
3.1,3.9163,-39.7852,2.1000,24.5106,27.8993,27.8993,27.9220,28.0000,0,0,0,normal
3.2,3.9162,-39.7811,2.1000,24.5110,27.8868,27.8868,27.9843,28.0000,0,0,0,normal
3.3,3.9160,-39.7772,2.1000,24.5113,27.9371,27.9371,27.9940,28.0000,0,0,0,normal
3.4,3.9159,-39.7735,2.1000,24.5116,28.0026,28.0026,28.0190,28.0000,0,0,0,normal
3.5,3.9158,-39.7701,2.1000,24.5120,27.9125,27.9125,28.0544,28.0000,0,0,0,normal
3.6,3.9157,-39.7670,2.1000,24.5123,27.9753,27.9753,27.9330,28.0000,0,0,0,normal
3.7,3.9156,-39.7641,2.1000,24.5127,28.0100,28.0100,28.0075,28.0000,0,0,0,normal
3.8,3.9154,-39.7615,2.1000,24.5130,27.9408,27.9408,28.0381,28.0000,0,0,0,normal
3.9,3.9153,-39.7591,2.1000,24.5133,28.0102,28.0102,27.9250,28.0000,0,0,0,normal
4.0,3.9152,-39.7570,2.1000,24.5137,28.1309,28.1309,28.0103,28.0000,0,0,0,normal
4.1,3.9151,-39.7552,2.1000,24.5140,27.9088,27.9088,27.9499,28.0000,0,0,0,normal
4.2,3.9150,-39.7536,2.1000,24.5144,28.0184,28.0184,27.9779,28.0000,0,0,0,normal
4.3,3.9148,-39.7524,2.1000,24.5147,28.0815,28.0815,27.9476,28.0000,0,0,0,normal
4.4,3.9147,-39.7514,2.1000,24.5150,27.9369,27.9369,28.0360,28.0000,0,0,0,normal
4.5,3.9146,-39.7506,2.1000,24.5154,28.0138,28.0138,27.9527,28.0000,0,0,0,normal
4.6,3.9145,-39.7502,2.1000,24.5157,27.9759,27.9759,27.9685,28.0000,0,0,0,normal
4.7,3.9144,-39.7500,2.1000,24.5161,28.0422,28.0422,28.0120,28.0000,0,0,0,normal
4.8,3.9142,-39.7501,2.1000,24.5164,27.9229,27.9229,28.0265,28.0000,0,0,0,normal
4.9,3.9141,-39.7505,2.1000,24.5167,27.9665,27.9665,28.0039,28.0000,0,0,0,normal
5.0,3.9140,-39.7511,2.1000,24.5171,27.9189,27.9189,28.1536,28.0000,0,0,0,normal
5.1,3.9139,-39.7521,2.1000,24.5174,28.1001,28.1001,27.9276,28.0000,0,0,0,normal
5.2,3.9138,-39.7533,2.1000,24.5178,28.0012,28.0012,28.0381,28.0000,0,0,0,normal
5.3,3.9136,-39.7548,2.1000,24.5181,27.8882,27.8882,28.0495,28.0000,0,0,0,normal
5.4,3.9135,-39.7565,2.1000,24.5184,28.0719,28.0719,28.0047,28.0000,0,0,0,normal
5.5,3.9134,-39.7586,2.1000,24.5188,27.9886,27.9886,28.0732,28.0000,0,0,0,normal
5.6,3.9133,-39.7609,2.1000,24.5191,27.9122,27.9122,28.0619,28.0000,0,0,0,normal
5.7,3.9132,-39.7634,2.1000,24.5195,28.1099,28.1099,28.0721,28.0000,0,0,0,normal
5.8,3.9130,-39.7662,2.1000,24.5198,27.9819,27.9819,27.9676,28.0000,0,0,0,normal
5.9,3.9129,-39.7693,2.1000,24.5201,28.0478,28.0478,28.0421,28.0000,0,0,0,normal
6.0,3.9128,-39.7727,2.1000,24.5205,28.1184,28.1184,28.0620,28.0000,0,0,0,normal
6.1,3.9127,-39.7763,2.1000,24.5208,28.0889,28.0889,27.9060,28.0000,0,0,0,normal
6.2,3.9126,-39.7801,2.1000,24.5211,28.0660,28.0660,28.0147,28.0000,0,0,0,normal
6.3,3.9124,-39.7842,2.1000,24.5215,28.0296,28.0296,27.9967,28.0000,0,0,0,normal
6.4,3.9123,-39.7885,2.1000,24.5218,27.9447,27.9447,28.1270,28.0000,0,0,0,normal
6.5,3.9122,-39.7931,2.1000,24.5222,27.8821,27.8821,28.0201,28.0000,0,0,0,normal
6.6,3.9121,-39.7979,2.1000,24.5225,28.0128,28.0128,27.9824,28.0000,0,0,0,normal
6.7,3.9120,-39.8029,2.1000,24.5228,27.9674,27.9674,27.9570,28.0000,0,0,0,normal
6.8,3.9118,-39.8081,2.1000,24.5232,28.0643,28.0643,27.9829,28.0000,0,0,0,normal
6.9,3.9117,-39.8136,2.1000,24.5235,27.9622,27.9622,27.9448,28.0000,0,0,0,normal
7.0,3.9116,-39.8192,2.1000,24.5238,28.1080,28.1080,27.9899,28.0000,0,0,0,normal
7.1,3.9115,-39.8251,2.1000,24.5242,27.9201,27.9201,28.0487,28.0000,0,0,0,normal
7.2,3.9114,-39.8311,2.1000,24.5245,28.0355,28.0355,27.9845,28.0000,0,0,0,normal
7.3,3.9112,-39.8374,2.1000,24.5248,27.9751,27.9751,27.9404,28.0000,0,0,0,normal
7.4,3.9111,-39.8438,2.1000,24.5252,28.0096,28.0096,27.9495,28.0000,0,0,0,normal
7.5,3.9110,-39.8504,2.1000,24.5255,28.1083,28.1083,27.9532,28.0000,0,0,0,normal
7.6,3.9109,-39.8571,2.1000,24.5259,27.9633,27.9633,28.0313,28.0000,0,0,0,normal
7.7,3.9108,-39.8641,2.1000,24.5262,27.9510,27.9510,27.9878,28.0000,0,0,0,normal
7.8,3.9106,-39.8711,2.1000,24.5265,28.1705,28.1705,28.1186,28.0000,0,0,0,normal
7.9,3.9105,-39.8783,2.1000,24.5269,28.0509,28.0509,27.9831,28.0000,0,0,0,normal
8.0,3.9104,-39.8857,2.1000,24.5272,27.9093,27.9093,27.9274,28.0000,0,0,0,normal
8.1,3.9103,-39.8932,2.1000,24.5275,28.0210,28.0210,28.0060,28.0000,0,0,0,normal
8.2,3.9102,-39.9007,2.1000,24.5279,27.8777,27.8777,28.0880,28.0000,0,0,0,normal
8.3,3.9100,-39.9084,2.1000,24.5282,27.9492,27.9492,27.9927,28.0000,0,0,0,normal
8.4,3.9099,-39.9163,2.1000,24.5285,28.1006,28.1006,27.9888,28.0000,0,0,0,normal
8.5,3.9098,-39.9241,2.1000,24.5289,27.9444,27.9444,28.0176,28.0000,0,0,0,normal
8.6,3.9097,-39.9321,2.1000,24.5292,28.0584,28.0584,28.0835,28.0000,0,0,0,normal
8.7,3.9096,-39.9402,2.1000,24.5295,27.9119,27.9119,28.0996,28.0000,0,0,0,normal
8.8,3.9094,-39.9483,2.1000,24.5299,28.0124,28.0124,28.0613,28.0000,0,0,0,normal
8.9,3.9093,-39.9565,2.1000,24.5302,28.1297,28.1297,28.0900,28.0000,0,0,0,normal
9.0,3.9092,-39.9647,2.1000,24.5305,28.0163,28.0163,27.9788,28.0000,0,0,0,normal
9.1,3.9091,-39.9730,2.1000,24.5308,28.0030,28.0030,27.9615,28.0000,0,0,0,normal
9.2,3.9090,-39.9813,2.1000,24.5312,27.9608,27.9608,27.9733,28.0000,0,0,0,normal
9.3,3.9088,-39.9896,2.1000,24.5315,27.9938,27.9938,27.9839,28.0000,0,0,0,normal
9.4,3.9087,-39.9979,2.1000,24.5318,27.8946,27.8946,28.0397,28.0000,0,0,0,normal
9.5,3.9086,-40.0063,2.1000,24.5322,28.0999,28.0999,27.9290,28.0000,0,0,0,normal
9.6,3.9085,-40.0146,2.1000,24.5325,27.9963,27.9963,27.9685,28.0000,0,0,0,normal
9.7,3.9084,-40.0229,2.1000,24.5328,28.0452,28.0452,28.0154,28.0000,0,0,0,normal
9.8,3.9082,-40.0312,2.1000,24.5332,28.0321,28.0321,28.0496,28.0000,0,0,0,normal
9.9,3.9081,-40.0394,2.1000,24.5335,28.0662,28.0662,27.9758,28.0000,0,0,0,normal
10.0,3.9080,-40.0476,2.1000,24.5338,27.9583,27.9583,28.0956,28.0000,0,0,0,normal
10.1,3.9079,-40.0558,2.1000,24.5341,27.9043,27.9043,28.0604,28.0000,0,0,0,normal
10.2,3.9078,-40.0639,2.1000,24.5345,28.0189,28.0189,27.9260,28.0000,0,0,0,normal
10.3,3.9076,-40.0719,2.1000,24.5348,27.9835,27.9835,28.0332,28.0000,0,0,0,normal
10.4,3.9075,-40.0798,2.1000,24.5351,28.0530,28.0530,28.0001,28.0000,0,0,0,normal
10.5,3.9074,-40.0877,2.1000,24.5355,27.9132,27.9132,28.0081,28.0000,0,0,0,normal
10.6,3.9073,-40.0954,2.1000,24.5358,27.9873,27.9873,28.0138,28.0000,0,0,0,normal
10.7,3.9072,-40.1031,2.1000,24.5361,28.0020,28.0020,28.0359,28.0000,0,0,0,normal
10.8,3.9070,-40.1106,2.1000,24.5364,28.0263,28.0263,28.0091,28.0000,0,0,0,normal
10.9,3.9069,-40.1180,2.1000,24.5368,28.0788,28.0788,28.0099,28.0000,0,0,0,normal
11.0,3.9068,-40.1253,2.1000,24.5371,28.1366,28.1366,27.9159,28.0000,0,0,0,normal
11.1,3.9067,-40.1325,2.1000,24.5374,28.0705,28.0705,28.0712,28.0000,0,0,0,normal
11.2,3.9066,-40.1395,2.1000,24.5377,28.0625,28.0625,28.0259,28.0000,0,0,0,normal
11.3,3.9064,-40.1463,2.1000,24.5381,27.9836,27.9836,28.0139,28.0000,0,0,0,normal
11.4,3.9063,-40.1530,2.1000,24.5384,27.9205,27.9205,27.9964,28.0000,0,0,0,normal
11.5,3.9062,-40.1595,2.1000,24.5387,28.1268,28.1268,27.9849,28.0000,0,0,0,normal
11.6,3.9061,-40.1658,2.1000,24.5390,27.9268,27.9268,28.0472,28.0000,0,0,0,normal
11.7,3.9060,-40.1719,2.1000,24.5394,27.9386,27.9386,27.9823,28.0000,0,0,0,normal
11.8,3.9058,-40.1779,2.1000,24.5397,27.9216,27.9216,27.9250,28.0000,0,0,0,normal
11.9,3.9057,-40.1836,2.1000,24.5400,27.9192,27.9192,27.9662,28.0000,0,0,0,normal
12.0,3.9056,-40.1892,2.1000,24.5403,27.9016,27.9016,27.9998,28.0000,0,0,0,normal
12.1,3.9055,-40.1945,2.1000,24.5407,28.0820,28.0820,27.9774,28.0000,0,0,0,normal
12.2,3.9054,-40.1997,2.1000,24.5410,28.0109,28.0109,28.0498,28.0000,0,0,0,normal
12.3,3.9052,-40.2046,2.1000,24.5413,27.8913,27.8913,27.9906,28.0000,0,0,0,normal
12.4,3.9051,-40.2092,2.1000,24.5416,27.8208,27.8208,28.0483,28.0000,0,0,0,normal
12.5,3.9050,-40.2137,2.1000,24.5420,27.9806,27.9806,27.9834,28.0000,0,0,0,normal
12.6,3.9049,-40.2179,2.1000,24.5423,27.9475,27.9475,28.0025,28.0000,0,0,0,normal
12.7,3.9048,-40.2219,2.1000,24.5426,28.1099,28.1099,28.0334,28.0000,0,0,0,normal
12.8,3.9046,-40.2256,2.1000,24.5429,27.9856,27.9856,28.0108,28.0000,0,0,0,normal
12.9,3.9045,-40.2290,2.1000,24.5432,28.1410,28.1410,27.9563,28.0000,0,0,0,normal
13.0,3.9044,-40.2323,2.1000,24.5436,28.1767,28.1767,28.0016,28.0000,0,0,0,normal
13.1,3.9043,-40.2352,2.1000,24.5439,28.0103,28.0103,27.9863,28.0000,0,0,0,normal
13.2,3.9042,-40.2379,2.1000,24.5442,28.0433,28.0433,28.0076,28.0000,0,0,0,normal
13.3,3.9040,-40.2403,2.1000,24.5445,27.9762,27.9762,28.1175,28.0000,0,0,0,normal
13.4,3.9039,-40.2425,2.1000,24.5448,27.9116,27.9116,27.9963,28.0000,0,0,0,normal
13.5,3.9038,-40.2444,2.1000,24.5451,27.9556,27.9556,28.0555,28.0000,0,0,0,normal
13.6,3.9037,-40.2460,2.1000,24.5455,28.0369,28.0369,27.9901,28.0000,0,0,0,normal
13.7,3.9036,-40.2474,2.1000,24.5458,28.1236,28.1236,28.0703,28.0000,0,0,0,normal
13.8,3.9034,-40.2484,2.1000,24.5461,27.9736,27.9736,27.9818,28.0000,0,0,0,normal
13.9,3.9033,-40.2492,2.1000,24.5464,27.9857,27.9857,28.0063,28.0000,0,0,0,normal
14.0,3.9032,-40.2497,2.1000,24.5467,27.9724,27.9724,28.0090,28.0000,0,0,0,normal
14.1,3.9031,-40.2500,2.1000,24.5470,27.9692,27.9692,28.0238,28.0000,0,0,0,normal
14.2,3.9030,-40.2499,2.1000,24.5474,28.0356,28.0356,27.9893,28.0000,0,0,0,normal
14.3,3.9028,-40.2496,2.1000,24.5477,27.9570,27.9570,27.8711,28.0000,0,0,0,normal
14.4,3.9027,-40.2490,2.1000,24.5480,28.0085,28.0085,27.9633,28.0000,0,0,0,normal
14.5,3.9026,-40.2482,2.1000,24.5483,28.0497,28.0497,27.9798,28.0000,0,0,0,normal
14.6,3.9025,-40.2470,2.1000,24.5486,27.9428,27.9428,27.9148,28.0000,0,0,0,normal
14.7,3.9024,-40.2456,2.1000,24.5489,27.9345,27.9345,28.0315,28.0000,0,0,0,normal
14.8,3.9022,-40.2439,2.1000,24.5492,28.0369,28.0369,27.9918,28.0000,0,0,0,normal
14.9,3.9021,-40.2420,2.1000,24.5496,28.0231,28.0231,27.9747,28.0000,0,0,0,normal
15.0,3.9020,-40.2397,2.1000,24.5499,27.9401,27.9401,27.9329,28.0000,0,0,0,normal
15.1,3.9019,-40.2372,2.1000,24.5502,27.8889,27.8889,27.9265,28.0000,0,0,0,normal
15.2,3.9018,-40.2345,2.1000,24.5505,27.8346,27.8346,27.9033,28.0000,0,0,0,normal
15.3,3.9016,-40.2315,2.1000,24.5508,27.9168,27.9168,28.0904,28.0000,0,0,0,normal
15.4,3.9015,-40.2282,2.1000,24.5511,27.9311,27.9311,27.9651,28.0000,0,0,0,normal
15.5,3.9014,-40.2246,2.1000,24.5514,28.0043,28.0043,28.0062,28.0000,0,0,0,normal
15.6,3.9013,-40.2209,2.1000,24.5517,27.9927,27.9927,27.9680,28.0000,0,0,0,normal
15.7,3.9012,-40.2168,2.1000,24.5520,28.0579,28.0579,28.0064,28.0000,0,0,0,normal
15.8,3.9010,-40.2126,2.1000,24.5524,28.0108,28.0108,27.9771,28.0000,0,0,0,normal
15.9,3.9009,-40.2081,2.1000,24.5527,27.8631,27.8631,27.9865,28.0000,0,0,0,normal
16.0,3.9008,-40.2033,2.1000,24.5530,27.9775,27.9775,27.9678,28.0000,0,0,0,normal
16.1,3.9007,-40.1984,2.1000,24.5533,28.1004,28.1004,27.9460,28.0000,0,0,0,normal
16.2,3.9006,-40.1932,2.1000,24.5536,27.9998,27.9998,27.9138,28.0000,0,0,0,normal
16.3,3.9004,-40.1878,2.1000,24.5539,27.9817,27.9817,28.0354,28.0000,0,0,0,normal
16.4,3.9003,-40.1822,2.1000,24.5542,28.0039,28.0039,28.0236,28.0000,0,0,0,normal
16.5,3.9002,-40.1764,2.1000,24.5545,28.1355,28.1355,28.0140,28.0000,0,0,0,normal
16.6,3.9001,-40.1704,2.1000,24.5548,28.0557,28.0557,28.0030,28.0000,0,0,0,normal
16.7,3.9000,-40.1642,2.1000,24.5551,28.0313,28.0313,27.9717,28.0000,0,0,0,normal
16.8,3.8998,-40.1578,2.1000,24.5554,28.1523,28.1523,27.9519,28.0000,0,0,0,normal
16.9,3.8997,-40.1513,2.1000,24.5557,28.0304,28.0304,27.9572,28.0000,0,0,0,normal
17.0,3.8996,-40.1445,2.1000,24.5560,27.9244,27.9244,28.0200,28.0000,0,0,0,normal
17.1,3.8995,-40.1377,2.1000,24.5563,27.9460,27.9460,27.9416,28.0000,0,0,0,normal
17.2,3.8994,-40.1306,2.1000,24.5566,27.9739,27.9739,27.9375,28.0000,0,0,0,normal
17.3,3.8992,-40.1235,2.1000,24.5569,27.9900,27.9900,28.1066,28.0000,0,0,0,normal
17.4,3.8991,-40.1162,2.1000,24.5572,27.8895,27.8895,27.9600,28.0000,0,0,0,normal
17.5,3.8990,-40.1087,2.1000,24.5575,28.0411,28.0411,28.0378,28.0000,0,0,0,normal
17.6,3.8989,-40.1011,2.1000,24.5578,28.0256,28.0256,28.0191,28.0000,0,0,0,normal
17.7,3.8988,-40.0935,2.1000,24.5581,27.9441,27.9441,27.9992,28.0000,0,0,0,normal
17.8,3.8986,-40.0857,2.1000,24.5584,27.9461,27.9461,27.9690,28.0000,0,0,0,normal
17.9,3.8985,-40.0778,2.1000,24.5587,28.0286,28.0286,27.9995,28.0000,0,0,0,normal
18.0,3.8984,-40.0699,2.1000,24.5590,28.0179,28.0179,28.0443,28.0000,0,0,0,normal
18.1,3.8983,-40.0618,2.1000,24.5593,27.9708,27.9708,28.0225,28.0000,0,0,0,normal
18.2,3.8982,-40.0537,2.1000,24.5596,28.1331,28.1331,28.0159,28.0000,0,0,0,normal
18.3,3.8980,-40.0455,2.1000,24.5599,27.9645,27.9645,28.0705,28.0000,0,0,0,normal
18.4,3.8979,-40.0373,2.1000,24.5602,28.0333,28.0333,28.0426,28.0000,0,0,0,normal
18.5,3.8978,-40.0291,2.1000,24.5605,28.1508,28.1508,28.0694,28.0000,0,0,0,normal
18.6,3.8977,-40.0208,2.1000,24.5608,27.9476,27.9476,27.8704,28.0000,0,0,0,normal
18.7,3.8976,-40.0125,2.1000,24.5611,27.8979,27.8979,28.0494,28.0000,0,0,0,normal
18.8,3.8974,-40.0041,2.1000,24.5614,27.9589,27.9589,27.9471,28.0000,0,0,0,normal
18.9,3.8973,-39.9958,2.1000,24.5617,28.0592,28.0592,28.0456,28.0000,0,0,0,normal
19.0,3.8972,-39.9875,2.1000,24.5620,28.0070,28.0070,28.0851,28.0000,0,0,0,normal
19.1,3.8971,-39.9792,2.1000,24.5623,28.0570,28.0570,27.9892,28.0000,0,0,0,normal
19.2,3.8970,-39.9709,2.1000,24.5626,28.0866,28.0866,28.0702,28.0000,0,0,0,normal
19.3,3.8968,-39.9626,2.1000,24.5629,28.0374,28.0374,27.9485,28.0000,0,0,0,normal
19.4,3.8967,-39.9544,2.1000,24.5632,27.8313,27.8313,27.9204,28.0000,0,0,0,normal
19.5,3.8966,-39.9462,2.1000,24.5635,27.8461,27.8461,27.9403,28.0000,0,0,0,normal
19.6,3.8965,-39.9381,2.1000,24.5637,28.0203,28.0203,27.9448,28.0000,0,0,0,normal
19.7,3.8964,-39.9301,2.1000,24.5640,27.9175,27.9175,28.0173,28.0000,0,0,0,normal
19.8,3.8962,-39.9221,2.1000,24.5643,27.9114,27.9114,28.1105,28.0000,0,0,0,normal
19.9,3.8961,-39.9142,2.1000,24.5646,28.0674,28.0674,28.0281,28.0000,0,0,0,normal
20.0,3.8960,-39.9065,2.1000,24.5649,27.9690,27.9690,28.1167,28.0000,0,0,0,normal
20.1,3.8959,-39.8988,2.1000,24.5652,28.0141,28.0141,27.9030,28.0000,0,0,0,normal
20.2,3.8958,-39.8912,2.1000,24.5655,27.9961,27.9961,28.0337,28.0000,0,0,0,normal
20.3,3.8956,-39.8838,2.1000,24.5658,27.9194,27.9194,27.9872,28.0000,0,0,0,normal
20.4,3.8955,-39.8765,2.1000,24.5660,27.9618,27.9618,28.0204,28.0000,0,0,0,normal
20.5,3.8954,-39.8693,2.1000,24.5663,28.1280,28.1280,28.0393,28.0000,0,0,0,normal
20.6,3.8953,-39.8623,2.1000,24.5666,28.0354,28.0354,28.0289,28.0000,0,0,0,normal
20.7,3.8952,-39.8554,2.1000,24.5669,28.0440,28.0440,27.8747,28.0000,0,0,0,normal
20.8,3.8950,-39.8487,2.1000,24.5672,28.0070,28.0070,28.0912,28.0000,0,0,0,normal
20.9,3.8949,-39.8421,2.1000,24.5675,27.9841,27.9841,28.0692,28.0000,0,0,0,normal
21.0,3.8948,-39.8358,2.1000,24.5678,28.1211,28.1211,27.9655,28.0000,0,0,0,normal
21.1,3.8947,-39.8296,2.1000,24.5680,28.1245,28.1245,28.0536,28.0000,0,0,0,normal
21.2,3.8946,-39.8236,2.1000,24.5683,27.9719,27.9719,27.9262,28.0000,0,0,0,normal
21.3,3.8944,-39.8178,2.1000,24.5686,27.9067,27.9067,28.0724,28.0000,0,0,0,normal
21.4,3.8943,-39.8122,2.1000,24.5689,28.0315,28.0315,27.9958,28.0000,0,0,0,normal
21.5,3.8942,-39.8068,2.1000,24.5692,28.0403,28.0403,27.9587,28.0000,0,0,0,normal
21.6,3.8941,-39.8016,2.1000,24.5694,28.0608,28.0608,27.9700,28.0000,0,0,0,normal
21.7,3.8940,-39.7966,2.1000,24.5697,27.9232,27.9232,27.9406,28.0000,0,0,0,normal
21.8,3.8938,-39.7919,2.1000,24.5700,28.0881,28.0881,28.0214,28.0000,0,0,0,normal
21.9,3.8937,-39.7874,2.1000,24.5703,27.9177,27.9177,28.0463,28.0000,0,0,0,normal
22.0,3.8936,-39.7831,2.1000,24.5706,27.9649,27.9649,28.0223,28.0000,0,0,0,normal
22.1,3.8935,-39.7791,2.1000,24.5708,27.9646,27.9646,27.9616,28.0000,0,0,0,normal
22.2,3.8934,-39.7753,2.1000,24.5711,28.0460,28.0460,28.0264,28.0000,0,0,0,normal
22.3,3.8932,-39.7718,2.1000,24.5714,27.9190,27.9190,27.9101,28.0000,0,0,0,normal
22.4,3.8931,-39.7685,2.1000,24.5717,27.9940,27.9940,27.9060,28.0000,0,0,0,normal
22.5,3.8930,-39.7655,2.1000,24.5719,27.9036,27.9036,27.9459,28.0000,0,0,0,normal
22.6,3.8929,-39.7627,2.1000,24.5722,28.1023,28.1023,28.0096,28.0000,0,0,0,normal
22.7,3.8928,-39.7602,2.1000,24.5725,27.9591,27.9591,28.0045,28.0000,0,0,0,normal
22.8,3.8926,-39.7580,2.1000,24.5728,28.0546,28.0546,27.9792,28.0000,0,0,0,normal
22.9,3.8925,-39.7561,2.1000,24.5730,28.0464,28.0464,27.9916,28.0000,0,0,0,normal
23.0,3.8924,-39.7544,2.1000,24.5733,28.0723,28.0723,27.9232,28.0000,0,0,0,normal
23.1,3.8923,-39.7530,2.1000,24.5736,27.9791,27.9791,27.9866,28.0000,0,0,0,normal
23.2,3.8922,-39.7518,2.1000,24.5738,27.9623,27.9623,27.9539,28.0000,0,0,0,normal
23.3,3.8920,-39.7510,2.1000,24.5741,28.0754,28.0754,27.9609,28.0000,0,0,0,normal
23.4,3.8919,-39.7504,2.1000,24.5744,28.0974,28.0974,27.9641,28.0000,0,0,0,normal
23.5,3.8918,-39.7501,2.1000,24.5747,28.0449,28.0449,28.0198,28.0000,0,0,0,normal
23.6,3.8917,-39.7500,2.1000,24.5749,28.1078,28.1078,28.0839,28.0000,0,0,0,normal
23.7,3.8916,-39.7503,2.1000,24.5752,28.0211,28.0211,27.8989,28.0000,0,0,0,normal
23.8,3.8914,-39.7508,2.1000,24.5755,27.8945,27.8945,28.0548,28.0000,0,0,0,normal
23.9,3.8913,-39.7516,2.1000,24.5757,27.9824,27.9824,27.8852,28.0000,0,0,0,normal
24.0,3.8912,-39.7527,2.1000,24.5760,28.0130,28.0130,27.9524,28.0000,0,0,0,normal
24.1,3.8911,-39.7540,2.1000,24.5763,27.9197,27.9197,27.9749,28.0000,0,0,0,normal
24.2,3.8910,-39.7556,2.1000,24.5765,27.8998,27.8998,27.9833,28.0000,0,0,0,normal
24.3,3.8908,-39.7575,2.1000,24.5768,27.9895,27.9895,27.9174,28.0000,0,0,0,normal
